"Location","Opioid Overdose Deaths","All Drug Overdose Deaths","Opioid Overdose Deaths as a Percent of All Drug Overdose Deaths"
"United States","22784","41340","0.55"
"Alabama","176","552","0.32"
"Alaska","66","107","0.62"
"Arizona","562","1071","0.52"
"Arkansas","169","355","0.48"
"California","1938","4180","0.46"
"Colorado","418","843","0.5"
"Connecticut","209","402","0.52"
"Delaware","113","160","0.71"
"District of Columbia","51","86","0.59"
"Florida","1576","2918","0.54"
"Georgia","535","1058","0.51"
"Hawaii","77","180","0.43"
"Idaho","77","193","0.4"
"Illinois","907","1408","0.64"
"Indiana","356","975","0.37"
"Iowa","172","250","0.69"
"Kansas","118","280","0.42"
"Kentucky","669","1058","0.63"
"Louisiana","116","601","0.19"
"Maine","85","156","0.54"
"Maryland","546","707","0.77"
"Massachusetts","655","857","0.76"
"Michigan","714","1386","0.52"
"Minnesota","286","511","0.56"
"Mississippi","79","302","0.26"
"Missouri","595","963","0.62"
"Montana","63","141","0.45"
"Nebraska","53","129","0.41"
"Nevada","461","639","0.72"
"New Hampshire","154","210","0.73"
"New Jersey","454","1012","0.45"
"New Mexico","243","529","0.46"
"New York","1356","1948","0.7"
"North Carolina","822","1264","0.65"
"North Dakota","10","16","0.63"
"Ohio","1272","2025","0.63"
"Oklahoma","483","703","0.69"
"Oregon","392","532","0.74"
"Pennsylvania","752","2289","0.33"
"Rhode Island","142","190","0.75"
"South Carolina","243","618","0.39"
"South Dakota","34","57","0.6"
"Tennessee","633","1090","0.58"
"Texas","1178","2589","0.46"
"Utah","381","504","0.76"
"Vermont","55","83","0.66"
"Virginia","575","798","0.72"
"Washington","697","997","0.7"
"West Virginia","550","635","0.87"
"Wisconsin","473","698","0.68"
"Wyoming","43","85","0.51"
