Location,"Natural and Semisynthetic Opioids (e.g. oxycodone, hydrocodone)","Synthetic Opioids, other than Methadone (e.g. fentanyl, tramadol)",Methadone,Heroin
United States,11342,3105,3591,8257
Alabama,65,30,41,40
Alaska,38,12,NSD,24
Arizona,253,52,64,146
Arkansas,111,31,42,NSD
California,1039,176,343,486
Colorado,221,67,41,120
Connecticut,144,53,49,227
Delaware,35,22,21,39
District of Columbia,10,NSD,NSD,35
Florida,751,200,271,181
Georgia,309,80,110,67
Hawaii,39,NSD,17,10
Idaho,51,14,11,NSD
Illinois,185,87,92,583
Indiana,111,34,34,160
Iowa,106,32,24,31
Kansas,88,37,30,12
Kentucky,349,76,70,215
Louisiana,86,26,20,121
Maine,64,23,34,16
Maryland,304,93,138,217
Massachusetts,179,98,94,288
Michigan,283,86,163,421
Minnesota,111,33,76,92
Mississippi,55,24,12,10
Missouri,237,97,54,261
Montana,43,NSD,14,NSD
Nebraska,33,NSD,NSD,NSD
Nevada,242,26,70,48
New Hampshire,62,30,14,67
New Jersey,231,57,67,383
New Mexico,209,23,28,89
New York,644,210,274,666
North Carolina,397,116,164,189
North Dakota,NSD,NSD,NSD,NSD
Ohio,518,167,116,998
Oklahoma,375,88,68,22
Oregon,119,27,66,103
Pennsylvania,406,108,82,409
Rhode Island,80,32,28,65
South Carolina,144,50,50,32
South Dakota,27,NSD,NSD,NSD
Tennessee,524,99,86,68
Texas,452,112,128,369
Utah,358,58,59,122
Vermont,37,17,14,20
Virginia,297,125,96,206
Washington,269,59,156,205
West Virginia,341,98,54,144
Wisconsin,277,81,76,232
Wyoming,33,NSD,NSD,NSD
