"Location","Opioid Overdose Deaths","All Drug Overdose Deaths","Opioid Overdose Deaths as a Percent of All Drug Overdose Deaths"
"United States","33091","52404","0.63"
"Alabama","282","736","0.38"
"Alaska","86","122","0.7"
"Arizona","671","1274","0.53"
"Arkansas","203","392","0.52"
"California","2018","4659","0.43"
"Colorado","495","869","0.57"
"Connecticut","685","800","0.86"
"Delaware","133","198","0.67"
"District of Columbia","98","125","0.78"
"Florida","1838","3228","0.57"
"Georgia","858","1302","0.66"
"Hawaii","62","169","0.37"
"Idaho","90","218","0.41"
"Illinois","1381","1835","0.75"
"Indiana","535","1245","0.43"
"Iowa","170","309","0.55"
"Kansas","150","329","0.46"
"Kentucky","885","1273","0.7"
"Louisiana","287","861","0.33"
"Maine","238","269","0.88"
"Maryland","1087","1285","0.85"
"Massachusetts","1550","1724","0.9"
"Michigan","1309","1980","0.66"
"Minnesota","338","581","0.58"
"Mississippi","150","351","0.43"
"Missouri","692","1066","0.65"
"Montana","48","138","0.35"
"Nebraska","55","126","0.44"
"Nevada","419","619","0.68"
"New Hampshire","380","422","0.9"
"New Jersey","862","1454","0.59"
"New Mexico","351","501","0.7"
"New York","2166","2754","0.79"
"North Carolina","1171","1567","0.75"
"North Dakota","34","61","0.56"
"Ohio","2698","3310","0.82"
"Oklahoma","427","725","0.59"
"Oregon","331","505","0.66"
"Pennsylvania","1362","3264","0.42"
"Rhode Island","254","310","0.82"
"South Carolina","554","761","0.73"
"South Dakota","27","65","0.42"
"Tennessee","1038","1457","0.71"
"Texas","1287","2588","0.5"
"Utah","448","646","0.69"
"Vermont","79","99","0.8"
"Virginia","820","1039","0.79"
"Washington","692","1094","0.63"
"West Virginia","629","725","0.87"
"Wisconsin","622","878","0.71"
"Wyoming","46","96","0.48"
