Location,"Natural and Semisynthetic Opioids (e.g. oxycodone, hydrocodone)","Synthetic Opioids, other than Methadone (e.g. fentanyl, tramadol)",Methadone,Heroin
United States,11134,2628,3932,5925
Alabama,62,16,55,35
Alaska,42,NSD,10,23
Arizona,326,36,50,101
Arkansas,118,20,43,NSD
California,965,146,342,362
Colorado,223,52,43,91
Connecticut,38,15,24,98
Delaware,37,17,11,20
District of Columbia,13,NSD,NSD,25
Florida,850,162,337,101
Georgia,300,61,161,40
Hawaii,35,NSD,16,NSD
Idaho,33,11,12,NSD
Illinois,175,84,105,269
Indiana,136,43,46,114
Iowa,100,36,41,14
Kansas,88,44,33,16
Kentucky,391,70,79,143
Louisiana,75,19,26,51
Maine,61,15,25,12
Maryland,258,52,170,173
Massachusetts,171,67,86,246
Michigan,274,72,130,263
Minnesota,108,40,67,46
Mississippi,61,20,22,NSD
Missouri,203,56,62,210
Montana,25,13,13,NSD
Nebraska,27,10,22,NSD
Nevada,305,27,71,45
New Hampshire,56,24,27,39
New Jersey,217,38,68,304
New Mexico,179,37,35,104
New York,616,164,328,516
North Carolina,410,141,184,152
North Dakota,NSD,NSD,NSD,NSD
Ohio,499,139,136,696
Oklahoma,380,107,77,26
Oregon,145,31,84,129
Pennsylvania,358,99,87,323
Rhode Island,72,12,28,30
South Carolina,148,46,37,19
South Dakota,17,NSD,NSD,NSD
Tennessee,491,77,104,50
Texas,480,121,142,367
Utah,328,59,53,84
Vermont,27,NSD,17,10
Virginia,276,89,104,121
Washington,332,59,180,177
West Virginia,348,89,67,63
Wisconsin,229,56,62,185
Wyoming,26,NSD,NSD,NSD
