"Location","Natural and Semisynthetic Opioids (e.g. oxycodone, hydrocodone)","Synthetic Opioids, other than Methadone (e.g. fentanyl, tramadol)","Methadone","Heroin"
"United States","12727","9580","3301","12989"
"Alabama","87","70","40","111"
"Alaska","51","14","10","37"
"Arizona","298","72","75","247"
"Arkansas","144","44","37","NSD"
"California","1019","229","291","593"
"Colorado","259","64","34","159"
"Connecticut","183","211","72","390"
"Delaware","36","38","14","64"
"District of Columbia","21","26","NSD","67"
"Florida","789","610","210","567"
"Georgia","435","284","115","222"
"Hawaii","37","13","NSD","15"
"Idaho","51","16","12","16"
"Illinois","271","278","99","844"
"Indiana","146","120","36","240"
"Iowa","75","44","24","45"
"Kansas","74","36","26","21"
"Kentucky","382","323","60","310"
"Louisiana","108","38","16","126"
"Maine","102","116","36","52"
"Maryland","398","357","182","405"
"Massachusetts","225","949","82","634"
"Michigan","380","457","171","646"
"Minnesota","125","55","55","115"
"Mississippi","73","35","12","38"
"Missouri","237","183","62","303"
"Montana","26","NSD","NSD","NSD"
"Nebraska","30","13","12","NSD"
"Nevada","259","32","57","82"
"New Hampshire","63","285","25","78"
"New Jersey","237","243","55","508"
"New Mexico","160","42","33","156"
"New York","705","668","246","1058"
"North Carolina","554","300","108","393"
"North Dakota","15","NSD","NSD","NSD"
"Ohio","690","1234","109","1444"
"Oklahoma","277","93","62","36"
"Oregon","150","34","70","102"
"Pennsylvania","460","429","89","663"
"Rhode Island","95","137","30","45"
"South Carolina","322","161","57","100"
"South Dakota","10","NSD","NSD","NSD"
"Tennessee","643","251","67","205"
"Texas","473","186","144","523"
"Utah","357","62","45","127"
"Vermont","25","33","NSD","33"
"Virginia","276","270","67","353"
"Washington","261","65","111","303"
"West Virginia","356","217","29","194"
"Wisconsin","249","112","73","287"
"Wyoming","28","NSD","NSD","NSD"
