"Location","Natural and Semisynthetic Opioids (e.g. oxycodone, hydrocodone)","Synthetic Opioids, other than Methadone (e.g. fentanyl, tramadol)","Methadone","Heroin"
"United States","14487","19413","3373","15469"
"Alabama","94","157","34","126"
"Alaska","45","NSD","13","49"
"Arizona","326","123","75","299"
"Arkansas","114","38","32","13"
"California","955","355","281","587"
"Colorado","212","72","58","234"
"Connecticut","206","500","72","450"
"Delaware","31","79","11","56"
"District of Columbia","52","129","21","122"
"Florida","1030","1566","203","669"
"Georgia","455","277","115","226"
"Hawaii","44","NSD","15","20"
"Idaho","64","20","15","25"
"Illinois","378","907","123","1040"
"Indiana","231","304","34","297"
"Iowa","82","58","13","47"
"Kansas","83","27","10","32"
"Kentucky","403","465","48","311"
"Louisiana","111","89","16","149"
"Maine","132","199","37","55"
"Maryland","666","1091","197","650"
"Massachusetts","267","1550","95","630"
"Michigan","560","921","149","727"
"Minnesota","137","99","67","149"
"Mississippi","97","45","NSD","33"
"Missouri","231","441","41","380"
"Montana","12","14","NSD","NSD"
"Nebraska","22","13","NSD","NSD"
"Nevada","235","53","53","86"
"New Hampshire","69","363","29","34"
"New Jersey","346","689","84","850"
"New Mexico","153","78","41","161"
"New York","892","1641","289","1307"
"North Carolina","611","601","118","544"
"North Dakota","17","15","NSD","12"
"Ohio","785","2296","96","1478"
"Oklahoma","285","98","46","53"
"Oregon","128","43","46","114"
"Pennsylvania","634","1309","113","926"
"Rhode Island","89","182","29","25"
"South Carolina","342","237","56","115"
"South Dakota","25","10","NSD","NSD"
"Tennessee","679","395","83","260"
"Texas","501","250","139","530"
"Utah","322","72","40","166"
"Vermont","23","53","13","45"
"Virginia","343","648","77","450"
"Washington","292","93","122","283"
"West Virginia","322","435","27","235"
"Wisconsin","328","288","67","389"
"Wyoming","26","NSD","NSD","NSD"

