Location,"Natural and Semisynthetic Opioids (e.g. oxycodone, hydrocodone)","Synthetic Opioids, other than Methadone (e.g. fentanyl, tramadol)",Methadone,Heroin
United States,10937,3007,4577,3036
Alabama,82,34,78,NSD
Alaska,38,10,25,NSD
Arizona,327,68,106,90
Arkansas,118,57,56,NSD
California,1063,205,456,326
Colorado,135,58,48,46
Connecticut,41,22,43,77
Delaware,47,14,20,16
District of Columbia,NSD,NSD,NSD,16
Florida,1169,146,439,51
Georgia,305,103,150,10
Hawaii,40,NSD,14,NSD
Idaho,42,14,26,NSD
Illinois,175,115,79,150
Indiana,140,49,62,56
Iowa,75,43,39,NSD
Kansas,52,18,27,NSD
Kentucky,436,53,118,37
Louisiana,68,21,18,14
Maine,52,21,36,NSD
Maryland,205,51,172,94
Massachusetts,170,68,83,68
Michigan,244,85,158,215
Minnesota,100,37,62,16
Mississippi,53,25,21,NSD
Missouri,248,92,78,183
Montana,33,10,12,NSD
Nebraska,33,21,14,NSD
Nevada,300,39,99,19
New Hampshire,61,22,31,13
New Jersey,173,35,47,97
New Mexico,114,20,29,21
New York,526,173,263,193
North Carolina,428,170,190,39
North Dakota,12,NSD,NSD,NSD
Ohio,516,175,175,355
Oklahoma,341,107,100,NSD
Oregon,135,27,105,81
Pennsylvania,328,98,110,131
Rhode Island,45,12,25,NSD
South Carolina,146,58,73,15
South Dakota,20,NSD,NSD,NSD
Tennessee,422,72,127,17
Texas,540,156,180,260
Utah,222,50,62,55
Vermont,27,NSD,NSD,NSD
Virginia,196,87,108,45
Washington,293,65,229,60
West Virginia,342,102,69,28
Wisconsin,228,66,85,92
Wyoming,31,NSD,NSD,NSD
