"Location","Opioid Overdose Deaths","All Drug Overdose Deaths","Opioid Overdose Deaths as a Percent of All Drug Overdose Deaths"
"United States","25052","43982","0.57"
"Alabama","166","598","0.28"
"Alaska","69","105","0.66"
"Arizona","527","1222","0.43"
"Arkansas","162","319","0.51"
"California","1948","4452","0.44"
"Colorado","433","846","0.51"
"Connecticut","439","582","0.75"
"Delaware","113","166","0.68"
"District of Columbia","60","102","0.59"
"Florida","1268","2474","0.51"
"Georgia","530","1098","0.48"
"Hawaii","69","158","0.44"
"Idaho","77","207","0.37"
"Illinois","1072","1579","0.68"
"Indiana","360","1064","0.34"
"Iowa","179","275","0.65"
"Kansas","158","331","0.48"
"Kentucky","665","1019","0.65"
"Louisiana","265","809","0.33"
"Maine","125","174","0.72"
"Maryland","749","892","0.84"
"Massachusetts","888","1081","0.82"
"Michigan","909","1553","0.59"
"Minnesota","305","523","0.58"
"Mississippi","100","316","0.32"
"Missouri","620","1025","0.6"
"Montana","67","137","0.49"
"Nebraska","41","117","0.35"
"Nevada","398","614","0.65"
"New Hampshire","157","203","0.77"
"New Jersey","675","1294","0.52"
"New Mexico","322","458","0.7"
"New York","1681","2309","0.73"
"North Carolina","834","1259","0.66"
"North Dakota","11","20","0.55"
"Ohio","1630","2347","0.69"
"Oklahoma","511","790","0.65"
"Oregon","301","455","0.66"
"Pennsylvania","958","2426","0.39"
"Rhode Island","190","241","0.79"
"South Carolina","247","620","0.4"
"South Dakota","34","55","0.62"
"Tennessee","767","1187","0.65"
"Texas","1053","2446","0.43"
"Utah","432","594","0.73"
"Vermont","70","93","0.75"
"Virginia","640","854","0.75"
"Washington","640","969","0.66"
"West Virginia","490","570","0.86"
"Wisconsin","599","856","0.7"
"Wyoming","48","98","0.49"
