"Location","Opioid Overdose Deaths","All Drug Overdose Deaths","Opioid Overdose Deaths as a Percent of All Drug Overdose Deaths"
"United States","21089","38329","0.55"
"Alabama","187","547","0.34"
"Alaska","62","83","0.75"
"Arizona","626","1098","0.57"
"Arkansas","189","350","0.54"
"California","1929","4057","0.48"
"Colorado","304","654","0.46"
"Connecticut","223","363","0.61"
"Delaware","103","145","0.71"
"District of Columbia","34","78","0.44"
"Florida","1674","3061","0.55"
"Georgia","534","1054","0.51"
"Hawaii","74","151","0.49"
"Idaho","79","178","0.44"
"Illinois","867","1288","0.67"
"Indiana","289","927","0.31"
"Iowa","147","253","0.58"
"Kansas","104","269","0.39"
"Kentucky","591","1007","0.59"
"Louisiana","123","591","0.21"
"Maine","90","135","0.67"
"Maryland","509","650","0.78"
"Massachusetts","549","738","0.74"
"Michigan","695","1394","0.5"
"Minnesota","235","397","0.59"
"Mississippi","100","334","0.3"
"Missouri","599","998","0.6"
"Montana","54","118","0.46"
"Nebraska","58","117","0.5"
"Nevada","439","578","0.76"
"New Hampshire","116","160","0.73"
"New Jersey","373","868","0.43"
"New Mexico","191","478","0.4"
"New York","1074","1557","0.69"
"North Carolina","776","1093","0.71"
"North Dakota","18","23","0.78"
"Ohio","1124","1835","0.61"
"Oklahoma","510","717","0.71"
"Oregon","332","503","0.66"
"Pennsylvania","629","1916","0.33"
"Rhode Island","111","167","0.66"
"South Carolina","271","678","0.4"
"South Dakota","32","45","0.71"
"Tennessee","633","1080","0.59"
"Texas","1123","2399","0.47"
"Utah","336","433","0.78"
"Vermont","43","63","0.68"
"Virginia","389","558","0.7"
"Washington","628","916","0.69"
"West Virginia","451","512","0.88"
"Wisconsin","415","630","0.66"
"Wyoming","47","85","0.55"
